"","shRNAname","label","score"
"Bcl2_1059_sas","Bcl2_1059_sas",0,-7.4540086305314
"Bcl2_106_sas","Bcl2_106_sas",0,-3.80366515687481
"Bcl2_1060_sas","Bcl2_1060_sas",1,0.785258686687781
"Bcl2_1061_sas","Bcl2_1061_sas",1,-2.14046580518017
"Bcl2_1062_sas","Bcl2_1062_sas",1,0.0021973710286769
"Bcl2_1063_sas","Bcl2_1063_sas",0,-3.87050606327357
"Bcl2_1064_sas","Bcl2_1064_sas",0,-4.24095244270288
"Bcl2_1065_sas","Bcl2_1065_sas",0,-4.74716428629913
"Bcl2_1066_sas","Bcl2_1066_sas",0,-7.86817453831689
"Bcl2_1067_sas","Bcl2_1067_sas",0,-7.66774751780874
"Bcl2_1068_sas","Bcl2_1068_sas",0,-5.90789177206409
"Bcl2_1069_sas","Bcl2_1069_sas",1,1.76372136449507
"Bcl2_107_sas","Bcl2_107_sas",0,-3.85021985907055
"Bcl2_1070_sas","Bcl2_1070_sas",0,-8.54933476914362
"Bcl2_1071_sas","Bcl2_1071_sas",0,-5.17330534260988
"Bcl2_1072_sas","Bcl2_1072_sas",0,-8.2027037111096
"Bcl2_1073_sas","Bcl2_1073_sas",0,-8.62035840543269
"Bcl2_1074_sas","Bcl2_1074_sas",0,-8.85585364938948
"Bcl2_1075_sas","Bcl2_1075_sas",0,-8.59770532912535
"Bcl2_1076_sas","Bcl2_1076_sas",0,-9.45722176511112
"Bcl2_1077_sas","Bcl2_1077_sas",0,-7.64960400919364
"Bcl2_1078_sas","Bcl2_1078_sas",0,-7.51161727842299
"Bcl2_1079_sas","Bcl2_1079_sas",0,-7.00140750780353
"Bcl2_108_sas","Bcl2_108_sas",1,-2.95344529780426
"Bcl2_1080_sas","Bcl2_1080_sas",0,-7.9272272419304
"Bcl2_1081_sas","Bcl2_1081_sas",0,-7.43334969144101
"Bcl2_1082_sas","Bcl2_1082_sas",0,-6.27956902782119
"Bcl2_1083_sas","Bcl2_1083_sas",0,-6.01135728652238
"Bcl2_1084_sas","Bcl2_1084_sas",0,-8.19846959754572
"Bcl2_1085_sas","Bcl2_1085_sas",1,1.02629663444098
"Bcl2_1086_sas","Bcl2_1086_sas",1,0.585144223236399
"Bcl2_1087_sas","Bcl2_1087_sas",1,2.91961135341339
"Bcl2_1088_sas","Bcl2_1088_sas",1,-2.71676706855908
"Bcl2_1089_sas","Bcl2_1089_sas",0,-5.62337029924657
"Bcl2_109_sas","Bcl2_109_sas",0,-3.32192809488736
"Bcl2_1090_sas","Bcl2_1090_sas",0,-5.58683856815171
"Bcl2_1091_sas","Bcl2_1091_sas",0,-7.0714523937543
"Bcl2_1092_sas","Bcl2_1092_sas",0,-7.35260018903156
"Bcl2_1093_sas","Bcl2_1093_sas",0,-7.67615967742342
"Bcl2_1094_sas","Bcl2_1094_sas",0,-7.41300110470397
"Bcl2_1095_sas","Bcl2_1095_sas",0,-7.80665013693027
"Bcl2_1096_sas","Bcl2_1096_sas",0,-6.22766361015228
"Bcl2_1097_sas","Bcl2_1097_sas",0,-8.24045819676666
"Bcl2_1098_sas","Bcl2_1098_sas",0,-7.5135426324524
"Bcl2_1099_sas","Bcl2_1099_sas",0,-8.75081753453458
"Bcl2_110_sas","Bcl2_110_sas",0,-4.88243579536805
"Bcl2_1100_sas","Bcl2_1100_sas",0,-5.21607749234113
"Bcl2_1101_sas","Bcl2_1101_sas",0,-8.02826593986443
"Bcl2_1102_sas","Bcl2_1102_sas",0,-9.05573851128161
"Bcl2_1103_sas","Bcl2_1103_sas",0,-7.72809698206105
"Bcl2_1104_sas","Bcl2_1104_sas",0,-4.16586829561404
"Bcl2_1105_sas","Bcl2_1105_sas",0,-7.93773069895819
"Bcl2_1106_sas","Bcl2_1106_sas",0,-4.73064227058694
"Bcl2_1107_sas","Bcl2_1107_sas",0,-9.00920877027411
"Bcl2_1108_sas","Bcl2_1108_sas",0,-6.83588109317231
"Bcl2_1109_sas","Bcl2_1109_sas",0,-8.0482958153948
"Bcl2_111_sas","Bcl2_111_sas",0,-5.87744375108173
"Bcl2_1110_sas","Bcl2_1110_sas",0,-7.52117168989685
"Bcl2_1111_sas","Bcl2_1111_sas",0,-5.04324907522409
"Bcl2_1112_sas","Bcl2_1112_sas",0,-7.9957277069833
"Bcl2_1113_sas","Bcl2_1113_sas",1,-0.271065825474475
"Bcl2_1114_sas","Bcl2_1114_sas",0,-4.54132247175026
"Bcl2_1115_sas","Bcl2_1115_sas",0,-7.07618203713048
"Bcl2_1116_sas","Bcl2_1116_sas",1,-0.742486895285115
"Bcl2_1117_sas","Bcl2_1117_sas",0,-9.4945641804332
"Bcl2_1118_sas","Bcl2_1118_sas",1,-1.58496250072116
"Bcl2_1119_sas","Bcl2_1119_sas",1,2.02014397861683
"Bcl2_112_sas","Bcl2_112_sas",0,-4.02219705967923
"Bcl2_1120_sas","Bcl2_1120_sas",1,0.33229191366995
"Bcl2_1121_sas","Bcl2_1121_sas",1,1.62666424432074
"Bcl2_1122_sas","Bcl2_1122_sas",1,3.2214995364414
"Bcl2_1123_sas","Bcl2_1123_sas",1,-0.00962677328518424
"Bcl2_1124_sas","Bcl2_1124_sas",1,1.51276289718337
"Bcl2_1125_sas","Bcl2_1125_sas",1,1.01781932551977
"Bcl2_1126_sas","Bcl2_1126_sas",1,-1.69645617554032
"Bcl2_1127_sas","Bcl2_1127_sas",1,2.62819991806206
"Bcl2_1128_sas","Bcl2_1128_sas",0,-5.04798513575752
"Bcl2_1129_sas","Bcl2_1129_sas",0,-7.98108651555485
"Bcl2_113_sas","Bcl2_113_sas",0,-3.86644563523176
"Bcl2_1130_sas","Bcl2_1130_sas",1,-0.195736796172472
"Bcl2_1131_sas","Bcl2_1131_sas",1,1.03108669454852
"Bcl2_1132_sas","Bcl2_1132_sas",1,4.36800806112423
"Bcl2_1133_sas","Bcl2_1133_sas",1,1.44458439139145
"Bcl2_1134_sas","Bcl2_1134_sas",0,-9.67351435816757
"Bcl2_1135_sas","Bcl2_1135_sas",1,-1.43418207510412
"Bcl2_1136_sas","Bcl2_1136_sas",0,-9.26847049292911
"Bcl2_1137_sas","Bcl2_1137_sas",0,-11.7944493123687
"Bcl2_1138_sas","Bcl2_1138_sas",0,-5.60832033514905
"Bcl2_1139_sas","Bcl2_1139_sas",0,-7.80452605981236
"Bcl2_114_sas","Bcl2_114_sas",0,-3
"Bcl2_1140_sas","Bcl2_1140_sas",0,-4.49828538757798
"Bcl2_1141_sas","Bcl2_1141_sas",0,-8.914991701302
"Bcl2_1142_sas","Bcl2_1142_sas",1,-2.8491410253592
"Bcl2_1143_sas","Bcl2_1143_sas",1,-2.80039224984429
"Bcl2_1144_sas","Bcl2_1144_sas",1,-0.165695204356663
"Bcl2_1145_sas","Bcl2_1145_sas",0,-3.29715670770007
"Bcl2_1146_sas","Bcl2_1146_sas",0,-9.19548750307777
"Bcl2_1147_sas","Bcl2_1147_sas",1,-2.50831130034995
"Bcl2_1148_sas","Bcl2_1148_sas",1,0.0718723392550018
"Bcl2_1149_sas","Bcl2_1149_sas",1,-1.43017137930495
"Bcl2_115_sas","Bcl2_115_sas",0,-3.70043971814109
"Bcl2_1150_sas","Bcl2_1150_sas",0,-6.38268667419489
"Bcl2_1151_sas","Bcl2_1151_sas",0,-4.15713753454986
"Bcl2_1152_sas","Bcl2_1152_sas",1,-1.70009764217718
"Bcl2_1153_sas","Bcl2_1153_sas",1,-0.522991495354727
"Bcl2_1154_sas","Bcl2_1154_sas",0,-9.26286744868758
"Bcl2_1155_sas","Bcl2_1155_sas",0,-4.35487176384765
"Bcl2_1156_sas","Bcl2_1156_sas",1,-0.734235576270756
"Bcl2_1157_sas","Bcl2_1157_sas",0,-5.55409523046718
"Bcl2_1158_sas","Bcl2_1158_sas",0,-9.64183358374575
"Bcl2_1159_sas","Bcl2_1159_sas",0,-5.94948960231126
"Bcl2_116_sas","Bcl2_116_sas",0,-6.30643424864552
"Bcl2_1160_sas","Bcl2_1160_sas",1,-0.0935340602788255
"Bcl2_1161_sas","Bcl2_1161_sas",0,-8.3767389659544
"Bcl2_1162_sas","Bcl2_1162_sas",0,-6.58425771559382
"Bcl2_1163_sas","Bcl2_1163_sas",1,-0.894680453174338
"Bcl2_1164_sas","Bcl2_1164_sas",1,1.18467060433821
"Bcl2_1165_sas","Bcl2_1165_sas",1,3.74547683900624
"Bcl2_1166_sas","Bcl2_1166_sas",1,1.4659710131302
"Bcl2_1167_sas","Bcl2_1167_sas",1,-0.361200751213758
"Bcl2_1168_sas","Bcl2_1168_sas",1,0.352091737455934
"Bcl2_1169_sas","Bcl2_1169_sas",0,-7.24316612638433
"Bcl2_117_sas","Bcl2_117_sas",1,-0.292481250360579
"Bcl2_1170_sas","Bcl2_1170_sas",0,-3.28534952152355
"Bcl2_1171_sas","Bcl2_1171_sas",1,-2.04201628167982
"Bcl2_1172_sas","Bcl2_1172_sas",0,-7.35953395056148
"Bcl2_1173_sas","Bcl2_1173_sas",0,-3.17325686658282
"Bcl2_1174_sas","Bcl2_1174_sas",0,-7.0549153271394
"Bcl2_1175_sas","Bcl2_1175_sas",0,-7.62526024528379
"Bcl2_1176_sas","Bcl2_1176_sas",1,1.12167065875398
"Bcl2_1177_sas","Bcl2_1177_sas",1,0.963579663060342
"Bcl2_1178_sas","Bcl2_1178_sas",0,-7.75464008404393
"Bcl2_1179_sas","Bcl2_1179_sas",1,0.940892695797816
"Bcl2_118_sas","Bcl2_118_sas",0,-5.5678546430522
"Bcl2_1180_sas","Bcl2_1180_sas",0,-7.92305123913746
"Bcl2_1181_sas","Bcl2_1181_sas",1,2.4301481488643
"Bcl2_1182_sas","Bcl2_1182_sas",1,3.06946113897086
"Bcl2_1183_sas","Bcl2_1183_sas",1,1.00476654313088
"Bcl2_1184_sas","Bcl2_1184_sas",0,-3.71788721144158
"Bcl2_1185_sas","Bcl2_1185_sas",0,-9.19606645727232
"Bcl2_1186_sas","Bcl2_1186_sas",0,-8.64583717285094
"Bcl2_1187_sas","Bcl2_1187_sas",0,-3.97168034813134
"Bcl2_1188_sas","Bcl2_1188_sas",0,-7.29039426314856
"Bcl2_1189_sas","Bcl2_1189_sas",0,-8.24555074845827
"Bcl2_119_sas","Bcl2_119_sas",1,1.19885297088706
"Bcl2_1190_sas","Bcl2_1190_sas",0,-8.44471038989782
"Bcl2_1191_sas","Bcl2_1191_sas",0,-8.04718319689075
"Bcl2_1192_sas","Bcl2_1192_sas",0,-8.09814737251413
"Bcl2_1193_sas","Bcl2_1193_sas",0,-8.74058042998723
"Bcl2_1194_sas","Bcl2_1194_sas",0,-8.06604901627601
"Bcl2_1195_sas","Bcl2_1195_sas",0,-8.83907997877138
"Bcl2_1196_sas","Bcl2_1196_sas",0,-8.44208525955422
"Bcl2_1197_sas","Bcl2_1197_sas",0,-8.30600947977162
"Bcl2_1198_sas","Bcl2_1198_sas",0,-6.77927014755156
"Bcl2_1199_sas","Bcl2_1199_sas",0,-8.06228281095869
"Bcl2_120_sas","Bcl2_120_sas",0,-7.11049142554089
"Bcl2_1200_sas","Bcl2_1200_sas",0,-7.05703382358263
"Bcl2_1201_sas","Bcl2_1201_sas",0,-6.71398375679218
"Bcl2_1202_sas","Bcl2_1202_sas",0,-8.52466903587597
"Bcl2_1203_sas","Bcl2_1203_sas",0,-5.02195078599846
"Bcl2_1204_sas","Bcl2_1204_sas",0,-6.87619032327645
"Bcl2_1205_sas","Bcl2_1205_sas",0,-7.03865822294051
"Bcl2_1206_sas","Bcl2_1206_sas",0,-6.97098229649307
"Bcl2_1207_sas","Bcl2_1207_sas",0,-5.47564235748349
"Bcl2_1208_sas","Bcl2_1208_sas",1,-2.41561316283822
"Bcl2_1209_sas","Bcl2_1209_sas",0,-7.76080021986186
"Bcl2_121_sas","Bcl2_121_sas",0,-7.09768610370137
"Bcl2_1210_sas","Bcl2_1210_sas",1,1.02848631315271
"Bcl2_1211_sas","Bcl2_1211_sas",0,-6.75711045467907
"Bcl2_1212_sas","Bcl2_1212_sas",0,-6.31262611087344
"Bcl2_1213_sas","Bcl2_1213_sas",0,-6.89629348447396
"Bcl2_1214_sas","Bcl2_1214_sas",0,-7.05511929929414
"Bcl2_1215_sas","Bcl2_1215_sas",0,-7.31484906338903
"Bcl2_1216_sas","Bcl2_1216_sas",0,-7.22862630550462
"Bcl2_1217_sas","Bcl2_1217_sas",0,-3.8688895399828
"Bcl2_1218_sas","Bcl2_1218_sas",0,-7.55780634023558
"Bcl2_1219_sas","Bcl2_1219_sas",1,-2.47656911408396
"Bcl2_122_sas","Bcl2_122_sas",0,-6.80076933796992
"Bcl2_1220_sas","Bcl2_1220_sas",0,-4.1815009279771
"Bcl2_1221_sas","Bcl2_1221_sas",0,-5.58001448264991
"Bcl2_1222_sas","Bcl2_1222_sas",0,-3.28683624375097
"Bcl2_1223_sas","Bcl2_1223_sas",0,-7.68734995089415
"Bcl2_1224_sas","Bcl2_1224_sas",0,-8.34783844429507
"Bcl2_1225_sas","Bcl2_1225_sas",0,-4.94062207949789
"Bcl2_1226_sas","Bcl2_1226_sas",0,-8.68474755543245
"Bcl2_1227_sas","Bcl2_1227_sas",0,-8.26190347909366
"Bcl2_1228_sas","Bcl2_1228_sas",0,-8.15695522640446
"Bcl2_1229_sas","Bcl2_1229_sas",0,-8.35533596398316
"Bcl2_123_sas","Bcl2_123_sas",0,-7.92740984768801
"Bcl2_1230_sas","Bcl2_1230_sas",0,-7.88367842706284
"Bcl2_1231_sas","Bcl2_1231_sas",0,-7.58337576473149
"Bcl2_1232_sas","Bcl2_1232_sas",0,-7.85635753149861
"Bcl2_1233_sas","Bcl2_1233_sas",0,-8.26880637885618
"Bcl2_1234_sas","Bcl2_1234_sas",0,-8.31734881314586
"Bcl2_1235_sas","Bcl2_1235_sas",0,-9.03277380778051
"Bcl2_1236_sas","Bcl2_1236_sas",0,-4.73515996739002
"Bcl2_1237_sas","Bcl2_1237_sas",0,-8.29684874393601
"Bcl2_1238_sas","Bcl2_1238_sas",1,-2.69649878426615
"Bcl2_1239_sas","Bcl2_1239_sas",0,-3.46525976391426
"Bcl2_124_sas","Bcl2_124_sas",0,-6.69501728537307
"Bcl2_1240_sas","Bcl2_1240_sas",1,1.19743648643478
"Bcl2_1241_sas","Bcl2_1241_sas",1,3.12603887575389
"Bcl2_1242_sas","Bcl2_1242_sas",0,-5.45414502384656
"Bcl2_1243_sas","Bcl2_1243_sas",0,-5.37510897992373
"Bcl2_1244_sas","Bcl2_1244_sas",0,-8.10282027142828
"Bcl2_1245_sas","Bcl2_1245_sas",1,-0.163802824509549
"Bcl2_1246_sas","Bcl2_1246_sas",0,-7.74819284958946
"Bcl2_1247_sas","Bcl2_1247_sas",0,-7.37309968976189
"Bcl2_1248_sas","Bcl2_1248_sas",0,-7.22263677782032
"Bcl2_1249_sas","Bcl2_1249_sas",0,-8.06078699367347
"Bcl2_125_sas","Bcl2_125_sas",0,-7.45980411930163
"Bcl2_1250_sas","Bcl2_1250_sas",0,-8.24714654686399
"Bcl2_1251_sas","Bcl2_1251_sas",0,-5.11738807289614
"Bcl2_1252_sas","Bcl2_1252_sas",0,-5.18209469221716
"Bcl2_1253_sas","Bcl2_1253_sas",0,-6.19168339813219
"Bcl2_1254_sas","Bcl2_1254_sas",0,-6.08213921915059
"Bcl2_1255_sas","Bcl2_1255_sas",0,-8.03809464570068
"Bcl2_1256_sas","Bcl2_1256_sas",0,-7.99324324422657
"Bcl2_1257_sas","Bcl2_1257_sas",0,-5.60290715554992
"Bcl2_1258_sas","Bcl2_1258_sas",1,0.361132070147542
"Bcl2_1259_sas","Bcl2_1259_sas",0,-5.98660950956944
"Bcl2_126_sas","Bcl2_126_sas",0,-5.10837292909765
"Bcl2_1260_sas","Bcl2_1260_sas",0,-8.64299005296411
"Bcl2_1261_sas","Bcl2_1261_sas",0,-7.98793517662262
"Bcl2_1262_sas","Bcl2_1262_sas",1,-2.35815992295199
"Bcl2_1263_sas","Bcl2_1263_sas",1,1.49449189583947
"Bcl2_1264_sas","Bcl2_1264_sas",1,1.71420024952304
"Bcl2_1265_sas","Bcl2_1265_sas",1,0.940579536941717
"Bcl2_1266_sas","Bcl2_1266_sas",0,-7.07677601585406
"Bcl2_1267_sas","Bcl2_1267_sas",1,-0.0617525604608247
"Bcl2_1268_sas","Bcl2_1268_sas",1,-2.96062294429279
"Bcl2_1269_sas","Bcl2_1269_sas",0,-6.8452718409993
"Bcl2_127_sas","Bcl2_127_sas",0,-6.40085417945823
"Bcl2_1270_sas","Bcl2_1270_sas",0,-5.40591249712585
"Bcl2_1271_sas","Bcl2_1271_sas",1,-2.13859387579216
"Bcl2_1272_sas","Bcl2_1272_sas",1,2.82146198070926
"Bcl2_1273_sas","Bcl2_1273_sas",0,-7.1731529784109
"Bcl2_1274_sas","Bcl2_1274_sas",1,-1.28003170495866
"Bcl2_1275_sas","Bcl2_1275_sas",0,-4.33532812455922
"Bcl2_1276_sas","Bcl2_1276_sas",1,-2.71653188256104
"Bcl2_1277_sas","Bcl2_1277_sas",0,-5.32135941757765
"Bcl2_1278_sas","Bcl2_1278_sas",1,1.16265934204407
"Bcl2_1279_sas","Bcl2_1279_sas",1,-0.983396263312196
"Bcl2_128_sas","Bcl2_128_sas",0,-7.39124318948947
"Bcl2_1280_sas","Bcl2_1280_sas",0,-5.82538780185726
"Bcl2_1281_sas","Bcl2_1281_sas",0,-8.25681754045338
"Bcl2_1282_sas","Bcl2_1282_sas",1,1.68847797697906
"Bcl2_1283_sas","Bcl2_1283_sas",0,-4.68688351320349
"Bcl2_1284_sas","Bcl2_1284_sas",0,-4.83450483350153
"Bcl2_1285_sas","Bcl2_1285_sas",0,-7.23107766192685
"Bcl2_1286_sas","Bcl2_1286_sas",0,-7.77398948327351
"Bcl2_1287_sas","Bcl2_1287_sas",0,-6.40779171692551
"Bcl2_1288_sas","Bcl2_1288_sas",0,-6.07645928806831
"Bcl2_1289_sas","Bcl2_1289_sas",0,-7.22379992913998
"Bcl2_129_sas","Bcl2_129_sas",1,1.54156867265924
"Bcl2_1290_sas","Bcl2_1290_sas",0,-3.47165140472939
"Bcl2_1291_sas","Bcl2_1291_sas",0,-7.64255659425075
"Bcl2_1292_sas","Bcl2_1292_sas",0,-8.12352798401478
"Bcl2_1293_sas","Bcl2_1293_sas",1,-2.19539734646135
"Bcl2_1294_sas","Bcl2_1294_sas",0,-4.08287281547106
"Bcl2_1295_sas","Bcl2_1295_sas",1,-1.9796961430967
"Bcl2_1296_sas","Bcl2_1296_sas",1,1.46198763713663
"Bcl2_1297_sas","Bcl2_1297_sas",1,2.87750605702802
"Bcl2_1298_sas","Bcl2_1298_sas",1,-2.76544358655994
"Bcl2_1299_sas","Bcl2_1299_sas",1,0.310952127644605
"Bcl2_130_sas","Bcl2_130_sas",0,-7.84325026359161
"Bcl2_1300_sas","Bcl2_1300_sas",1,-0.923608184222532
"Bcl2_1301_sas","Bcl2_1301_sas",1,-0.267760696421897
"Bcl2_1302_sas","Bcl2_1302_sas",1,1.19004890402746
"Bcl2_1303_sas","Bcl2_1303_sas",1,-0.44475284938348
"Bcl2_1304_sas","Bcl2_1304_sas",1,0.199206753308822
"Bcl2_1305_sas","Bcl2_1305_sas",1,-2.36065745064475
"Bcl2_1306_sas","Bcl2_1306_sas",1,0.869520994695883
"Bcl2_1307_sas","Bcl2_1307_sas",1,-0.512709876017711
"Bcl2_1308_sas","Bcl2_1308_sas",1,1.32035046917459
"Bcl2_1309_sas","Bcl2_1309_sas",1,-2.13058768150443
"Bcl2_131_sas","Bcl2_131_sas",0,-5.45419631038687
"Bcl2_1310_sas","Bcl2_1310_sas",0,-6.7207049205184
"Bcl2_1311_sas","Bcl2_1311_sas",1,4.27525368873193
"Bcl2_1312_sas","Bcl2_1312_sas",1,-0.957803906354814
"Bcl2_1313_sas","Bcl2_1313_sas",0,-5.00491430868405
"Bcl2_1314_sas","Bcl2_1314_sas",1,-1.42729804408315
"Bcl2_1315_sas","Bcl2_1315_sas",0,-4.29248125036058
"Bcl2_1316_sas","Bcl2_1316_sas",0,-4.00561362771163
"Bcl2_1317_sas","Bcl2_1317_sas",0,-3.77729442583882
"Bcl2_1318_sas","Bcl2_1318_sas",0,-3.22971580931865
"Bcl2_1319_sas","Bcl2_1319_sas",1,-2.56464150847248
"Bcl2_132_sas","Bcl2_132_sas",0,-8.04699759351383
"Bcl2_1320_sas","Bcl2_1320_sas",1,-2
"Bcl2_1321_sas","Bcl2_1321_sas",1,-1
"Bcl2_1322_sas","Bcl2_1322_sas",1,-2.26178097802851
"Bcl2_1323_sas","Bcl2_1323_sas",1,-2.19615871138938
"Bcl2_1324_sas","Bcl2_1324_sas",1,0
"Bcl2_1325_sas","Bcl2_1325_sas",1,0
"Bcl2_1326_sas","Bcl2_1326_sas",1,0
"Bcl2_1327_sas","Bcl2_1327_sas",1,-0.792481250360578
"Bcl2_1328_sas","Bcl2_1328_sas",1,0
"Bcl2_1329_sas","Bcl2_1329_sas",1,-1.29248125036058
"Bcl2_133_sas","Bcl2_133_sas",0,-8.38331621388905
"Bcl2_1330_sas","Bcl2_1330_sas",1,-1
"Bcl2_1331_sas","Bcl2_1331_sas",0,-5
"Bcl2_1332_sas","Bcl2_1332_sas",0,-3.97125725266962
"Bcl2_1333_sas","Bcl2_1333_sas",0,-4.47564235748349
"Bcl2_1334_sas","Bcl2_1334_sas",0,-3.68316110712291
"Bcl2_1335_sas","Bcl2_1335_sas",0,-4.9382584732825
"Bcl2_1336_sas","Bcl2_1336_sas",0,-4.20681396451209
"Bcl2_1337_sas","Bcl2_1337_sas",1,-1.52722389201119
"Bcl2_1338_sas","Bcl2_1338_sas",0,-4.98217043389621
"Bcl2_1339_sas","Bcl2_1339_sas",0,-4.04373142062517
"Bcl2_134_sas","Bcl2_134_sas",0,-6.44437162444913
"Bcl2_1340_sas","Bcl2_1340_sas",0,-5.17822598511088
"Bcl2_1341_sas","Bcl2_1341_sas",0,-3.02219705967923
"Bcl2_1342_sas","Bcl2_1342_sas",0,-4.78492780416547
"Bcl2_1343_sas","Bcl2_1343_sas",1,-1.09796010498763
"Bcl2_1344_sas","Bcl2_1344_sas",0,-6.32619843073884
"Bcl2_1345_sas","Bcl2_1345_sas",1,-0.801442204359209
"Bcl2_1346_sas","Bcl2_1346_sas",0,-5.89964081076096
"Bcl2_1347_sas","Bcl2_1347_sas",0,-3.70892625744295
"Bcl2_1348_sas","Bcl2_1348_sas",0,-4.61440934524794
"Bcl2_1349_sas","Bcl2_1349_sas",0,-6.31056805663732
"Bcl2_135_sas","Bcl2_135_sas",0,-6.29107099082939
"Bcl2_1350_sas","Bcl2_1350_sas",0,-6.77843262338331
"Bcl2_1351_sas","Bcl2_1351_sas",1,-1.66120936202535
"Bcl2_1352_sas","Bcl2_1352_sas",0,-5.53593742789028
"Bcl2_1353_sas","Bcl2_1353_sas",1,2.14253759162525
"Bcl2_1354_sas","Bcl2_1354_sas",0,-7.03656869155519
"Bcl2_1355_sas","Bcl2_1355_sas",1,-0.344634426067455
"Bcl2_1356_sas","Bcl2_1356_sas",0,-7.73099547529279
